X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21
Mb,3,2,3,1,3,84,16.28,24,632,5,6.8,30.5,27.8,65.1,0.068965517,0.794,17.46,5.959,4.311,9.518
Mb,3,2,4,1,4,65,12.56,58,858,5,8.6,16.3,14.9,39.8,0,1.357,19.7,5.415,7.056,7.724
Mb,3,2,5,2,1,52,10.39,34,309,2,5,11.2,12.2,28.4,-0.105263158,0.73,18.81,5.368,11.41,0.648
Mb,3,2,6,2,2,64,11.16,20,315,1,4.6,14.6,10.9,30.1,0.447368421,0.683,18.63,7.644,5.796,6.826
Mb,3,2,7,2,3,99,13.28,65,689,5,8.3,25.2,22.2,55.7,-0.038461538,0.875,17.91,3.937,6.266,10.88
Mb,3,2,8,2,4,46.5,8.04,13,134,1,3.6,7.7,6.6,17.9,-0.184210526,1.106,14.38,6.523,5.372,7.838
Mb,3,2,9,3,1,,,,,,,,,,,,,,,
Mb,3,2,10,3,2,97,13.91,30,521,2,7,31.9,19.8,58.7,0.20754717,0.884,19.61,5.235,7.978,6.691
Mb,3,2,11,3,3,51.5,10.21,25,430,2,5.3,13.4,9.6,28.3,-0.066666667,0.732,13.45,4.976,5.305,8.085
Mb,3,2,12,3,4,92,13.81,47,962,4,8.7,29.8,13.9,52.4,0.1,0.863,14.41,3.024,3.22,7.667
Mb,3,2,13,4,1,80.5,10.85,29,457,6,5.8,12.4,10.8,29,0.666666667,1.143,20.24,3.035,11.89,1.24
Mb,3,2,14,4,2,73.5,10.94,28,434,2,6.2,13.6,12.9,32.7,0.322580645,0.735,16,6.304,5.332,8.907
Mb,3,2,15,4,3,64,13.18,39,532,4,6.6,20.4,14.6,41.6,1,0.906,16.11,6.26,7.988,9.157
Mb,3,2,16,4,4,77,11.7,50,533,3,6.7,18.9,14.3,39.9,0.675675676,0.996,16.35,5.261,4.063,10.02
Mb,3,3,1,1,1,42.5,8.29,34,341,3,5.3,6.4,8.2,19.9,-0.038461538,0.943,19.87,5.995,4.963,1.163
Mb,3,3,2,1,2,54,12.41,41,484,4,7.3,15.2,18,40.5,0.032258065,0.881,15.55,4.519,4.86,8.957
Mb,3,3,3,1,3,73,14.47,58,1013,4,9.3,21.1,24.2,54.6,0.037735849,0.67,17.78,7.265,7.369,7.131
Mb,3,3,4,1,4,49,10.67,25,182,2,4.7,12.2,14.2,31.1,0.066666667,0.686,18.12,8.528,4.771,6.417
Mb,3,3,5,2,1,70,10.36,24,477,3,5.8,10.9,14.3,31,-0.35,1.165,22.07,2.848,14.83,0.703
Mb,3,3,6,2,2,44.5,9.68,22,237,2,4.5,9,8.5,22,0.318181818,0.688,20.5,6.633,6.639,3.827
Mb,3,3,7,2,3,73.5,12.62,29,540,2,6.8,17.2,15.8,39.8,-0.108695652,0.916,17.45,4.814,5.751,7.731
Mb,3,3,8,2,4,103,12.85,39,576,3,8.6,22.5,17.7,48.8,0.1,0.973,16.06,4.965,4.382,10.62
Mb,3,3,9,3,1,67,10.44,30,491,2,6.3,13.2,12.2,31.7,-0.133333333,1.043,18.27,5.608,11.07,1.181
Mb,3,3,10,3,2,64,14.96,50,522,5,7,22.8,22,51.8,0.470588235,0.688,16.22,4.597,7.058,6.297
Mb,3,3,11,3,3,71,12.62,39,833,4,7.9,17.8,14.1,39.8,0.25,1.359,16.48,4.476,7.844,9.332
Mb,3,3,12,3,4,62,12.21,20,342,3,5.6,17.4,17.4,40.4,-0.018867925,0.646,15.89,6.551,4.563,7.633
Mb,3,3,13,4,1,56,10.3,41,438,3,6.1,10.7,9.1,25.9,1,0.971,21.43,5.882,12.54,0.708
